Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,ST9750420AS,Seagate,Momentus 2.5" 750GB (2010),359,47.3,12847,https://hdd.userbenchmark.com/SpeedTest/922/ST9750420AS
HDD,,Maxtor,STM3160813AS 160GB,360,47.3,668,https://hdd.userbenchmark.com/SpeedTest/7161/MAXTOR-STM3160813AS
HDD,,Toshiba,MK3261GSY 320GB,361,47.2,329,https://hdd.userbenchmark.com/SpeedTest/694/TOSHIBA-MK3261GSY
HDD,,Hitachi,HDT721050SLA360 500GB,362,47.2,1178,https://hdd.userbenchmark.com/SpeedTest/4865/Hitachi-HDT721050SLA360
HDD,ST500LX003,Seagate,Momentus XT 7200 RPM 2.5" 500GB,363,47,894,https://hdd.userbenchmark.com/SpeedTest/7156/ST500LX003-1AC15G
HDD,WD5001AALS,WD,Black 500GB (2008),364,47,16894,https://hdd.userbenchmark.com/SpeedTest/1199/WDC-WD5001AALS-00L3B2
HDD,,Seagate,ST31000340AS 1TB,365,46.9,4656,https://hdd.userbenchmark.com/SpeedTest/206/ST31000340AS
HDD,,Seagate,ST3500412AS 500GB,366,46.9,2236,https://hdd.userbenchmark.com/SpeedTest/5332/ST3500412AS
HDD,,Seagate,ST3500312CS 500GB,367,46.8,36090,https://hdd.userbenchmark.com/SpeedTest/1659/ST3500312CS
HDD,WD10JPVT,WD,Blue 2.5" 1TB (2011),368,46.8,10638,https://hdd.userbenchmark.com/SpeedTest/1109/WDC-WD10JPVT-75
HDD,,Toshiba,MK6461GSY 640GB,369,46.8,578,https://hdd.userbenchmark.com/SpeedTest/3150/TOSHIBA-MK6461GSY
HDD,,Samsung,HD321HJ 320GB,370,46.7,2678,https://hdd.userbenchmark.com/SpeedTest/6799/SAMSUNG-HD321HJ
HDD,,Hitachi,HTS72755 500GB,371,46.7,48,https://hdd.userbenchmark.com/SpeedTest/2252/Hitachi-HTS72755
HDD,,Seagate,ST1000LM014-SSHD-8GB 1TB,372,46.7,10137,https://hdd.userbenchmark.com/SpeedTest/6737/ST1000LM014-SSHD-8GB
HDD,,Seagate,STM3320418AS 320GB,373,46.6,448,https://hdd.userbenchmark.com/SpeedTest/5696/STM3320418AS
HDD,,Samsung,HM320HJ 320GB,374,46.6,627,https://hdd.userbenchmark.com/SpeedTest/2116/SAMSUNG-HM320HJ
HDD,WD15EARX,WD,Green 1.5TB (2011),375,46.6,3638,https://hdd.userbenchmark.com/SpeedTest/4721/WDC-WD15EARX-22PASB0
HDD,,Seagate,ST3250310NS 250GB,376,46.5,817,https://hdd.userbenchmark.com/SpeedTest/1947/ST3250310NS
HDD,,Samsung,HD502HI 500GB,377,46.5,14013,https://hdd.userbenchmark.com/SpeedTest/1270/SAMSUNG-HD502HI
HDD,,Hitachi,HTS541515A9E630 1.5TB,378,46.5,1308,https://hdd.userbenchmark.com/SpeedTest/9932/HGST-HTS541515A9E630
HDD,,Samsung,HD322HJ 320GB,379,46.4,21291,https://hdd.userbenchmark.com/SpeedTest/1377/SAMSUNG-HD322HJ
HDD,ST3500320AS,Seagate,Barracuda 7200.11 500GB,380,46.4,17502,https://hdd.userbenchmark.com/SpeedTest/137/ST3500320AS
HDD,,Seagate,ST3500820AS 500GB,381,46.4,2766,https://hdd.userbenchmark.com/SpeedTest/3950/ST3500820AS
HDD,,Samsung,HD103SI 1TB,382,46.4,27431,https://hdd.userbenchmark.com/SpeedTest/1110/SAMSUNG-HD103SI
HDD,,Hitachi,HTS725050A9A362 500GB,383,46.3,304,https://hdd.userbenchmark.com/SpeedTest/5508/Hitachi-HTS725050A9A362
HDD,,WD,WD6400AARS-00Y5B1 640GB,384,46.2,1757,https://hdd.userbenchmark.com/SpeedTest/1604/WDC-WD6400AARS-00Y5B1
HDD,,Toshiba,MQ01ABD100 1TB,385,46.2,171412,https://hdd.userbenchmark.com/SpeedTest/784/TOSHIBA-MQ01ABD100
HDD,,Samsung,HD105SI 1TB,386,46.1,2904,https://hdd.userbenchmark.com/SpeedTest/2699/SAMSUNG-HD105SI
HDD,,Seagate,ST3500320NS 500GB,387,46.1,2423,https://hdd.userbenchmark.com/SpeedTest/507/ST3500320NS
HDD,ST95005620AS,Seagate,Momentus XT SSHD 2.5" 500GB,388,46,6403,https://hdd.userbenchmark.com/Seagate-Momentus-XT-SSHD-25--500GB/Rating/1800
HDD,,Maxtor,STM3500320AS 500GB,389,46,2926,https://hdd.userbenchmark.com/SpeedTest/2192/MAXTOR-STM3500320AS
HDD,,Seagate,ST3750330SV 750GB,390,46,100,https://hdd.userbenchmark.com/SpeedTest/10527/ST3750330SV
HDD,WD3200AAKX,WD,Blue 320GB (2010),391,46,8114,https://hdd.userbenchmark.com/SpeedTest/2995/WDC-WD3200AAKX-001CA0
HDD,,WD,WD15EURS-63S48Y0 1.5TB,392,46,312,https://hdd.userbenchmark.com/SpeedTest/7870/WDC-WD15EURS-63S48Y0
HDD,,Toshiba,MQ02ABF100 1TB,393,46,3948,https://hdd.userbenchmark.com/SpeedTest/11528/TOSHIBA-MQ02ABF100
HDD,HD154UI,Samsung,Spinpoint F2 1TB,394,45.9,15350,https://hdd.userbenchmark.com/SpeedTest/1306/SAMSUNG-HD154UI
HDD,,Samsung,MZMPC064HBDR-000 1TB,395,45.9,8,https://hdd.userbenchmark.com/SpeedTest/1769/SAMSUNG-MZMPC064HBDR-000
HDD,,Apple,HDD HTS545050A7E362 500GB,396,45.9,1668,https://hdd.userbenchmark.com/SpeedTest/7208/APPLE-HDD-HTS545050A7E362
HDD,,Seagate,ST3750630AS 750GB,397,45.7,1373,https://hdd.userbenchmark.com/SpeedTest/3071/ST3750630AS
